title,author,year,publication
Public Data-Assisted Mirror Descent for Private Model Training,"Ehsan Amid, Arun Ganesh, Rajiv Mathews, Swaroop Ramaswamy, Shuang Song, Thomas Steinke, Thomas Steinke, Vinith M Suriyakumar, Om Thakkar, Abhradeep Thakurta",2022,ICML2022
On Last-Iterate Convergence Beyond Zero-Sum Games,"Ioannis Anagnostides, Ioannis Panageas, Gabriele Farina, Tuomas Sandholm",2022,ICML2022
Online Algorithms with Multiple Predictions,"Keerti Anand, Rong Ge, Amit Kumar, Debmalya Panigrahi",2022,ICML2022
"Learning to Hash Robustly, Guaranteed","Alexandr Andoni, Daniel Beaglehole",2022,ICML2022
Set Based Stochastic Subsampling,"Bruno Andreis, Seanie Lee, A. Tuan Nguyen, Juho Lee, Eunho Yang, Sung Ju Hwang",2022,ICML2022
Towards Understanding Sharpness-Aware Minimization,"Maksym Andriushchenko, Nicolas Flammarion",2022,ICML2022
Fair and Fast k-Center Clustering for Data Summarization,"Haris Angelidakis, Adam Kurpisz, Leon Sering, Rico Zenklusen",2022,ICML2022
Interactive Correlation Clustering with Existential Cluster Constraints,"Rico Angell, Nicholas Monath, Nishant Yadav, Andrew Mccallum",2022,ICML2022
Image-to-Image Regression with Distribution-Free Uncertainty Quantification and Applications in Imaging,"Anastasios N Angelopoulos, Amit Pal Kohli, Stephen Bates, Michael Jordan, Jitendra Malik, Thayer Alshaabi, Srigokul Upadhyayula, Yaniv Romano",2022,ICML2022
AdaGrad Avoids Saddle Points,"Kimon Antonakopoulos, Panayotis Mertikopoulos, Georgios Piliouras, Xiao Wang",2022,ICML2022
UnderGrad: A Universal Black-Box Optimization Method with Almost Dimension-Free Convergence Rate Guarantees,"Kimon Antonakopoulos, Dong Quan Vu, Volkan Cevher, Kfir Levy, Panayotis Mertikopoulos",2022,ICML2022
Adapting the Linearised Laplace Model Evidence for Modern Deep Learning,"Javier Antoran, David Janz, James U Allingham, Erik Daxberger, Riccardo Rb Barbano, Eric Nalisnick, Jose Miguel Hernandez-Lobato",2022,ICML2022
EAT-C: Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning,"Shuang Ao, Tianyi Zhou, Jing Jiang, Guodong Long, Xuan Song, Chengqi Zhang",2022,ICML2022
Online Balanced Experimental Design,"David Arbour, Drew Dimmery, Tung Mai, Anup Rao",2022,ICML2022
VariGrow: Variational Architecture Growing for Task-Agnostic Continual Learning based on Bayesian Novelty,"Randy Ardywibowo, Zepeng Huo, Zhangyang Wang, Bobak J Mortazavi, Shuai Huang, Xiaoning Qian",2022,ICML2022
Thresholded Lasso Bandit,"Kaito Ariu, Kenshi Abe, Alexandre Proutiere",2022,ICML2022
Gradient Based Clustering,"Aleksandar Armacki, Dragana Bajovic, Dusan Jakovetic, Soummya Kar",2022,ICML2022
Understanding Gradient Descent on the Edge of Stability in Deep Learning,"Sanjeev Arora, Zhiyuan Li, Abhishek Panigrahi",2022,ICML2022
Private optimization in the interpolation regime: faster rates and hardness results,"Hilal Asi, Karan Chadha, Gary Cheng, John Duchi",2022,ICML2022
Optimal Algorithms for Mean Estimation under Local Differential Privacy,"Hilal Asi, Vitaly Feldman, Kunal Talwar",2022,ICML2022
Asymptotically-Optimal Gaussian Bandits with Side Observations,"Alexia Atsidakou, Orestis Papadigenopoulos, Constantine Caramanis, Sujay Sanghavi, Sanjay Shakkottai",2022,ICML2022
Congested Bandits: Optimal Routing via Short-term Resets,"Pranjal Awasthi, Kush Bhatia, Sreenivas Gollapudi, Kostas Kollias",2022,ICML2022
Do More Negative Samples Necessarily Hurt In Contrastive Learning?,"Pranjal Awasthi, Nishanth Dikkala, Pritish Kamath",2022,ICML2022
H-Consistency Bounds for Surrogate Loss Minimizers,"Pranjal Awasthi, Anqi Mao, Mehryar Mohri, Yutao Zhong",2022,ICML2022
Iterative Hard Thresholding with Adaptive Regularization: Sparser Solutions Without Sacrificing Runtime,"Kyriakos Axiotis, Maxim Sviridenko",2022,ICML2022
Proving Theorems using Incremental Learning and Hindsight Experience Replay,"Eser Aygün, Ankit Anand, Laurent Orseau, Xavier Glorot, Stephen M Mcaleer, Vlad Firoiu, Lei M Zhang, Doina Precup, Shibl Mourad",2022,ICML2022
Near-optimal rate of consistency for linear models with missing values,"Alexis Ayme, Claire Boyer, Aymeric Dieuleveut, Erwan Scornet",2022,ICML2022
How Tempering Fixes Data Augmentation in Bayesian Neural Networks,"Gregor Bachmann, Lorenzo Noci, Thomas Hofmann",2022,ICML2022
ASAP.SGD: Instance-based Adaptiveness to Staleness in Asynchronous SGD,"Karl Bäckström, Marina Papatriantafilou, Philippas Tsigas",2022,ICML2022
From Noisy Prediction to True Label: Noisy Prediction Calibration via Generative Model,"Heesun Bae, Seungjae Shin, Byeonghu Na, Joonho Jang, Kyungwoo Song, Il-Chul Moon",2022,ICML2022
"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language","Alexei Baevski, Wei-Ning Hsu, Qiantong Xu, Arun Babu, Jiatao Gu, Michael Auli",2022,ICML2022
End-to-End Balancing for Causal Continuous Treatment-Effect Estimation,"Taha Bahadori, Eric Tchetgen Tchetgen, David Heckerman",2022,ICML2022
A Hierarchical Transitive-Aligned Graph Kernel for Un-attributed Graphs,"Lu Bai, Lixin Cui, Hancock Edwin",2022,ICML2022
Near-Optimal Learning of Extensive-Form Games with Imperfect Information,"Yu Bai, Chi Jin, Song Mei, Tiancheng Yu",2022,ICML2022
Gaussian Mixture Variational Autoencoder with Contrastive Learning for Multi-Label Classification,"Junwen Bai, Shufeng Kong, Carla P Gomes",2022,ICML2022
A$^3$T: Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing,"He Bai, Renjie Zheng, Junkun Chen, Mingbo Ma, Xintong Li, Liang Huang",2022,ICML2022
Stability Based Generalization Bounds for Exponential Family Langevin Dynamics,"Arindam Banerjee, Tiancong Chen, Xinyan Li, Yingxue Zhou",2022,ICML2022
Certified Neural Network Watermarks with Randomized Smoothing,"Arpit Bansal, Ping-Yeh Chiang, Michael J Curry, Rajiv Jain, Curtis Wigington, Varun Manjunatha, John P Dickerson, Tom Goldstein",2022,ICML2022
Data Scaling Laws in NMT: The Effect of Noise and Architecture,"Yamini Bansal, Behrooz Ghorbani, Ankush Garg, Biao Zhang, Colin Cherry, Behnam Neyshabur, Orhan Firat",2022,ICML2022
Learning Stable Classifiers by Transferring Unstable Features,"Yujia Bao, Shiyu Chang, Dr.Regina Barzilay",2022,ICML2022
Fast Composite Optimization and Statistical Recovery in Federated Learning,"Yajie Bao, Michael Crawshaw, Shan Luo, Mingrui Liu",2022,ICML2022
Generative Modeling for Multi-task Visual Learning,"Zhipeng Bao, Martial Hebert, Yu-Xiong Wang",2022,ICML2022
Estimating the Optimal Covariance with Imperfect Mean in Diffusion Probabilistic Models,"Fan Bao, Chongxuan Li, Jiacheng Sun, Jun Zhu, Bo Zhang",2022,ICML2022
On the Surrogate Gap between Contrastive and Supervised Losses,"Han Bao, Yoshihiro Nagano, Kento Nozawa",2022,ICML2022
Representation Topology Divergence: A Method for Comparing Neural Network Representations.,"Serguei Barannikov, Ilya Trofimov, Nikita Balabin, Evgeny Burnaev",2022,ICML2022
Sparse Mixed Linear Regression with Guarantees: Taming an Intractable Problem with Invex Relaxation,"Adarsh Barik, Jean Honorio",2022,ICML2022
Neural Fisher Discriminant Analysis: Optimal Neural Network Embeddings in Polynomial Time,"Burak Bartan, Mert Pilanci",2022,ICML2022
Fictitious Play and Best-Response Dynamics in Identical Interest and Zero-Sum Stochastic Games,"Lucas Baudin, Rida Laraki",2022,ICML2022
Information Discrepancy in Strategic Learning,"Yahav Bechavod, Chara Podimata, Steven Wu, Juba Ziani",2022,ICML2022
On the Hidden Biases of Policy Mirror Ascent in Continuous Action Spaces,"Amrit Singh Bedi, Souradip Chakraborty, Anjaly Parayil, Brian M Sadler, Pratap Tokekar, Alec Koppel",2022,ICML2022
Imitation Learning by Estimating Expertise of Demonstrators,"Mark Beliaev, Andy Shih, Stefano Ermon, Dorsa Sadigh, Ramtin Pedarsani",2022,ICML2022
Matching Normalizing Flows and Probability Paths on Manifolds,"Heli Ben-Hamu, Samuel Cohen, Joey Bose, Brandon Amos, Maximillian Nickel, Aditya Grover, Ricky T. Q. Chen, Yaron Lipman",2022,ICML2022
Stochastic Contextual Dueling Bandits under Linear Stochastic Transitivity Models,"Viktor Bengs, Aadirupa Saha, Eyke Hüllermeier",2022,ICML2022
Neural Inverse Kinematic,"Raphael Bensadoun, Shir Gur, Nitsan Blau, Lior Wolf",2022,ICML2022
Volatility Based Kernels and Moving Average Means for Accurate Forecasting with Gaussian Processes,"Gregory Benton, Wesley Maddox, Andrew Gordon Wilson",2022,ICML2022
Gradient Descent on Neurons and its Link to Approximate Second-order Optimization,Frederik Benzing,2022,ICML2022
Safe Learning in Tree-Form Sequential Decision Making: Handling Hard and Soft Constraints,"Martino Bernasconi, Federico Cacciamani, Matteo Castiglioni, Alberto Marchesi, Nicola Gatti, Francesco Trovò",2022,ICML2022
Skin Deep Unlearning: Artefact and Instrument Debiasing in the Context of Melanoma Classification,"Peter Bevan, Amir Atapour-Abarghouei",2022,ICML2022
Approximate Bayesian Computation with Domain Expert in the Loop,"Ayush Bharti, Louis Filstroff, Samuel Kaski",2022,ICML2022
Minimax M-estimation under Adversarial Contamination,"Sujay Bhatt, Guanhua Fang, Ping Li, Gennady Samorodnitsky",2022,ICML2022
Nearly Optimal Catoni’s M-estimator for Infinite Variance,"Sujay Bhatt, Guanhua Fang, Ping Li, Gennady Samorodnitsky",2022,ICML2022
Personalization Improves Privacy-Accuracy Tradeoffs in Federated Learning,"Alberto Bietti, Chen-Yu Wei, Miroslav Dudik, John Langford, Steven Wu",2022,ICML2022
Non-Vacuous Generalisation Bounds for Shallow Neural Networks,"Felix Biggs, Benjamin Guedj",2022,ICML2022
Structure-preserving GANs,"Jeremiah Birrell, Markos Katsoulakis, Luc Rey-Bellet, Wei Zhu",2022,ICML2022
Scalable Spike-and-Slab,"Niloy Biswas, Lester Mackey, Xiao-Li Meng",2022,ICML2022
Breaking Down Out-of-Distribution Detection: Many Methods Based on OOD Training Data Estimate a Combination of the Same Core Quantities,"Julian Bitterwolf, Alexander Meinke, Maximilian Augustin, Matthias Hein",2022,ICML2022
A query-optimal algorithm for finding counterfactuals,"Guy Blanc, Caleb Koch, Jane Lange, Li-Yang Tan",2022,ICML2022
Popular decision tree algorithms are provably noise tolerant,"Guy Blanc, Jane Lange, Ali Malik, Li-Yang Tan",2022,ICML2022
Optimizing Sequential Experimental Design with Deep Reinforcement Learning,"Tom Blau, Edwin V. Bonilla, Iadine Chades, Amir Dezfouli",2022,ICML2022
Lagrangian Method for Q-Function Learning (with Applications to Machine Translation),Huang Bojun,2022,ICML2022
Generalized Results for the Existence and Consistency of the MLE in the Bradley-Terry-Luce Model,"Heejong Bong, Alessandro Rinaldo",2022,ICML2022
How to Train Your Wide Neural Network Without Backprop: An Input-Weight Alignment Perspective,"Akhilan Boopathy, Ila Fiete",2022,ICML2022
Improving Language Models by Retrieving from Trillions of Tokens,"Sebastian Borgeaud, Arthur Mensch, Jordan Hoffmann, Trevor Cai, Eliza Rutherford, Katie Millican, George Bm Van Den Driessche, Jean-Baptiste Lespiau, Bogdan Damoc, Aidan Clark, Diego De Las Casas, Aurelia Guy, Jacob Menick, Roman Ring, Tom Hennigan, Saffron Huang, Loren Maggiore, Chris Jones, Albin Cassirer, Andy Brock, Michela Paganini, Geoffrey Irving, Oriol Vinyals, Simon Osindero, Karen Simonyan, Jack Rae, Erich Elsen, Laurent Sifre",2022,ICML2022
Lie Point Symmetry Data Augmentation for Neural PDE Solvers,"Johannes Brandstetter, Max Welling, Daniel E Worrall",2022,ICML2022
An iterative clustering algorithm for the Contextual Stochastic Block Model with optimality guarantees,"Guillaume Braun, Hemant Tyagi, Christophe Biernacki",2022,ICML2022
Tractable Dendritic RNNs for Reconstructing Nonlinear Dynamical Systems,"Manuel Brenner, Florian Hess, Jonas M Mikhaeil, Leonard F Bereska, Zahra Monfared, Po-Chen Kuo, Daniel Durstewitz",2022,ICML2022
Learning to Predict Graphs with Fused Gromov-Wasserstein Barycenters,"Luc Brogat-Motte, Rémi Flamary, Celine Brouard, Juho Rousu, Florence D’Alché-Buc",2022,ICML2022
Efficient Learning of CNNs using Patch Based Features,"Alon Brutzkus, Amir Globerson, Eran Malach, Alon Regev Netser, Shai Shalev-Schwartz",2022,ICML2022
Causal structure-based root cause analysis of outliers,"Kailash Budhathoki, Lenon Minorics, Patrick Bloebaum, Dominik Janzing",2022,ICML2022
"IGLUE: A Benchmark for Transfer Learning across Modalities, Tasks, and Languages","Emanuele Bugliarello, Fangyu Liu, Jonas Pfeiffer, Siva Reddy, Desmond Elliott, Edoardo Maria Ponti, Ivan Vulić",2022,ICML2022
Interactive Inverse Reinforcement Learning for Cooperative Games,"Thomas Kleine Büning, Anne-Marie George, Christos Dimitrakakis",2022,ICML2022
Convolutional and Residual Networks Provably Contain Lottery Tickets,Rebekka Burkholz,2022,ICML2022
Near-Optimal Algorithms for Autonomous Exploration and Multi-Goal Stochastic Shortest Path,"Haoyuan Cai, Tengyu Ma, Simon Du",2022,ICML2022
Convergence of Invariant Graph Networks,"Chen Cai, Yusu Wang",2022,ICML2022
Reinforcement Learning from Partial Observation: Linear Function Approximation with Provable Sample Efficiency,"Qi Cai, Zhuoran Yang, Zhaoran Wang",2022,ICML2022
Scaling Gaussian Process Optimization by Evaluating a Few Unique Candidates Multiple Times,"Daniele Calandriello, Luigi Carratino, Alessandro Lazaric, Michal Valko, Lorenzo Rosasco",2022,ICML2022
Adaptive Gaussian Process Change Point Detection,"Edoardo Caldarelli, Philippe Wenk, Stefan Bauer, Andreas Krause",2022,ICML2022
Measuring dissimilarity with diffeomorphism invariance,"Théophile Cantelobre, Carlo Ciliberto, Benjamin Guedj, Alessandro Rudi",2022,ICML2022
A Model-Agnostic Randomized Learning Framework based on Random Hypothesis Subspace Sampling,"Yiting Cao, Chao Lan",2022,ICML2022
Gaussian Process Uniform Error Bounds with Unknown Hyperparameters for Safety-Critical Applications,"Alexandre Capone, Armin Lederer, Sandra Hirche",2022,ICML2022
Burst-Dependent Plasticity and Dendritic Amplification Support Target-Based Learning and Hierarchical Imitation Learning,"Cristiano Capone, Cosimo Lupo, Paolo Muratore, Pier Stanislao Paolucci",2022,ICML2022
"A Marriage between Adversarial Team Games and 2-player Games: Enabling Abstractions, No-regret Learning, and Subgame Solving","Luca Carminati, Federico Cacciamani, Marco Ciccone, Nicola Gatti",2022,ICML2022
RECAPP: Crafting a More Efficient Catalyst for Convex Optimization,"Yair Carmon, Arun Jambulapati, Yujia Jin, Aaron Sidford",2022,ICML2022
Estimating and Penalizing Induced Preference Shifts in Recommender Systems,"Micah D Carroll, Anca Dragan, Stuart Russell, Dylan Hadfield-Menell",2022,ICML2022
YourTTS: Towards Zero-Shot Multi-Speaker TTS and Zero-Shot Voice Conversion for Everyone,"Edresson Casanova, Julian Weber, Christopher D Shulby, Arnaldo Candido Junior, Eren Gölge, Moacir A Ponti",2022,ICML2022
The Infinite Contextual Graph Markov Model,"Daniele Castellana, Federico Errica, Davide Bacciu, Alessio Micheli",2022,ICML2022
Compressed-VFL: Communication-Efficient Learning with Vertically Partitioned Data,"Timothy J Castiglia, Anirban Das, Shiqiang Wang, Stacy Patterson",2022,ICML2022
Online Learning with Knapsacks: the Best of Both Worlds,"Matteo Castiglioni, Andrea Celli, Christian Kroer",2022,ICML2022
Stabilizing Off-Policy Deep Reinforcement Learning from Pixels,"Edoardo Cetin, Philip J Ball, Stephen Roberts, Oya Celiktutan",2022,ICML2022
"Accelerated, Optimal and Parallel: Some results on model-based stochastic optimization","Karan Chadha, Gary Cheng, John Duchi",2022,ICML2022
Robust Imitation Learning against Variations in Environment Dynamics,"Jongseong Chae, Seungyul Han, Whiyoung Jung, Myungsik Cho, Sungho Choi, Youngchul Sung",2022,ICML2022
Fairness with Adaptive Weights,"Junyi Chai, Xiaoqian Wang",2022,ICML2022
UNIREX: A Unified Learning Framework for Language Model Rationale Extraction,"Aaron Chan, Maziar Sanjabi, Lambert Mathias, Liang Tan, Shaoliang Nie, Xiaochang Peng, Xiang Ren, Hamed Firooz",2022,ICML2022
Revisiting Label Smoothing and Knowledge Distillation Compatibility: What was Missing?,"Keshigeyan Chandrasegaran, Ngoc-Trung Tran, Yunqing Zhao, Ngai-Man Cheung",2022,ICML2022
Style Equalization: Unsupervised Learning of Controllable Generative Sequence Models,"Jen-Hao Rick Chang, Ashish Shrivastava, Hema Koppula, Xiaoshuai Zhang, Oncel Tuzel",2022,ICML2022
Learning Bellman Complete Representations for Offline Policy Evaluation,"Jonathan Chang, Kaiwen Wang, Nathan Kallus, Wen Sun",2022,ICML2022
Sample Efficient Learning of Predictors that Complement Humans,"Mohammad-Amin Charusaie, Hussein Mozannar, David Sontag, Samira Samadi",2022,ICML2022
Nyström Kernel Mean Embeddings,"Antoine Chatalic, Nicolas Schreuder, Lorenzo Rosasco, Alessandro Rudi",2022,ICML2022
Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets,"Tianlong Chen, Xuxi Chen, Xiaolong Ma, Yanzhi Wang, Zhangyang Wang",2022,ICML2022
Learning Domain Adaptive Object Detection with Probabilistic Teacher,"Meilin Chen, Weijie Chen, Shicai Yang, Jie Song, Xinchao Wang, Lei Zhang, Yunfeng Yan, Donglian Qi, Yueting Zhuang, Di Xie, Shiliang Pu",2022,ICML2022
The Fundamental Price of Secure Aggregation in Differentially Private Federated Learning,"Wei-Ning Chen, Christopher A Choquette Choo, Peter Kairouz, Ananda Theertha Suresh",2022,ICML2022
Perfectly Balanced: Improving Transfer and Robustness of Supervised Contrastive Learning,"Mayee Chen, Daniel Y Fu, Avanika Narayan, Michael Zhang, Zhao Song, Kayvon Fatahalian, Christopher Re",2022,ICML2022
Strategies for Safe Multi-Armed Bandits with Logarithmic Regret and Risk,"Tianrui Chen, Aditya Gangrade, Venkatesh Saligrama",2022,ICML2022
On the Sample Complexity of Learning Infinite-horizon Discounted Linear Kernel MDPs,"Yuanzhou Chen, Jiafan He, Quanquan Gu",2022,ICML2022
Streaming Algorithms for Support-Aware Histograms,"Justin Chen, Piotr Indyk, Tal Wagner",2022,ICML2022
Improved No-Regret Algorithms for Stochastic Shortest Path with Linear MDP,"Liyu Chen, Rahul Jain, Haipeng Luo",2022,ICML2022
Learning Infinite-horizon Average-reward Markov Decision Process with Constraints,"Liyu Chen, Rahul Jain, Haipeng Luo",2022,ICML2022
Active Multi-Task Representation Learning,"Yifang Chen, Kevin Jamieson, Simon Du",2022,ICML2022
On Collective Robustness of Bagging Against Data Poisoning,"Ruoxin Chen, Zenan Li, Jie Li, Junchi Yan, Chentao Wu",2022,ICML2022
Online Active Regression,"Cheng Chen, Yi Li, Yiming Sun",2022,ICML2022
Selling Data To a Machine Learner: Pricing via Costly Signaling,"Junjie Chen, Minming Li, Haifeng Xu",2022,ICML2022
ME-GAN: Learning Panoptic Electrocardio Representations for Multi-view ECG Synthesis Conditioned on Heart Diseases,"Jintai Chen, Kuanlun Liao, Kun Wei, Haochao Ying, Danny Z Chen, Jian Wu",2022,ICML2022
Weisfeiler-Lehman Meets Gromov-Wasserstein,"Samantha Chen, Sunhyuk Lim, Facundo Memoli, Zhengchao Wan, Yusu Wang",2022,ICML2022
On Non-local Convergence Analysis of Deep Linear Networks,"Kun Chen, Dachao Lin, Zhihua Zhang",2022,ICML2022
Flow-based Recurrent Belief State Learning for POMDPs,"Xiaoyu Chen, Yao Mark Mu, Ping Luo, Shengbo Li, Jianyu Chen",2022,ICML2022
Structure-Aware Transformer for Graph Representation Learning,"Dexiong Chen, Leslie O’Bray, Karsten Borgwardt",2022,ICML2022
The Poisson Binomial Mechanism for Unbiased Federated Learning with Secure Aggregation,"Wei-Ning Chen, Ayfer Ozgur, Peter Kairouz",2022,ICML2022
Learning Mixtures of Linear Dynamical Systems,"Yanxi Chen, H. Vincent Poor",2022,ICML2022
On Well-posedness and Minimax Optimal Rates of Nonparametric Q-function Estimation in Off-policy Evaluation,"Xiaohong Chen, Zhengling Qi",2022,ICML2022
Faster Fundamental Graph Algorithms via Learned Predictions,"Justin Chen, Sandeep Silwal, Ali Vakilian, Fred Zhang",2022,ICML2022
Improve Single-Point Zeroth-Order Optimization Using High-Pass and Low-Pass Filters,"Xin Chen, Yujie Tang, Na Li",2022,ICML2022
Deep Variational Graph Convolutional Recurrent Network for Multivariate Time Series Anomaly Detection,"Wenchao Chen, Long Tian, Bo Chen, Liang Dai, Zhibin Duan, Mingyuan Zhou",2022,ICML2022
Auxiliary Learning with Joint Task and Data Scheduling,"Hong Chen, Xin Wang, Chaoyu Guan, Yue Liu, Wenwu Zhu",2022,ICML2022
Optimization-Induced Graph Implicit Nonlinear Diffusion,"Qi Chen, Yifei Wang, Yisen Wang, Jiansheng Yang, Zhouchen Lin",2022,ICML2022
Robust Meta-learning with Sampling Noise and Label Noise via Eigen-Reptile,"Dong Chen, Lingfei Wu, Siliang Tang, Xiao Yun, Bo Long, Yueting Zhuang",2022,ICML2022
Adaptive Model Design for Markov Decision Process,"Siyu Chen, Donglin Yang, Jiayang Li, Senmiao Wang, Zhuoran Yang, Zhaoran Wang",2022,ICML2022
State Transition of Dendritic Spines Improves Learning of Sparse Spiking Neural Networks,"Yanqi Chen, Zhaofei Yu, Wei Fang, Zhengyu Ma, Tiejun Huang, Yonghong Tian",2022,ICML2022
Efficient Online ML API Selection for Multi-Label Classification Tasks,"Lingjiao Chen, Matei Zaharia, James Zou",2022,ICML2022
Data-Efficient Double-Win Lottery Tickets from Robust Pre-training,"Tianlong Chen, Zhenyu Zhang, Sijia Liu, Yang Zhang, Shiyu Chang, Zhangyang Wang",2022,ICML2022
Linearity Grafting: Relaxed Neuron Pruning Helps Certifiable Robustness,"Tianlong Chen, Huan Zhang, Zhenyu Zhang, Shiyu Chang, Sijia Liu, Pin-Yu Chen, Zhangyang Wang",2022,ICML2022
Human-in-the-loop: Provably Efficient Preference-based Reinforcement Learning with General Function Approximation,"Xiaoyu Chen, Han Zhong, Zhuoran Yang, Zhaoran Wang, Liwei Wang",2022,ICML2022
Sample and Communication-Efficient Decentralized Actor-Critic Algorithms with Finite-Time Analysis,"Ziyi Chen, Yi Zhou, Rong-Rong Chen, Shaofeng Zou",2022,ICML2022
Task-aware Privacy Preservation for Multi-dimensional Data,"Jiangnan Cheng, Ao Tang, Sandeep Chinchali",2022,ICML2022
Adversarially Trained Actor Critic for Offline Reinforcement Learning,"Ching-An Cheng, Tengyang Xie, Nan Jiang, Alekh Agarwal",2022,ICML2022
Quantum-Inspired Algorithms from Randomized Numerical Linear Algebra,"Nadiia Chepurko, Kenneth Clarkson, Lior Horesh, Honghao Lin, David Woodruff",2022,ICML2022
RieszNet and ForestRiesz: Automatic Debiased Machine Learning with Neural Nets and Random Forests,"Victor Chernozhukov, Whitney Newey, Vı́ctor M Quintas-Martı́nez, Vasilis Syrgkanis",2022,ICML2022
Self-supervised learning with random-projection quantizer for speech recognition,"Chung-Cheng Chiu, James Qin, Yu Zhang, Jiahui Yu, Yonghui Wu",2022,ICML2022
Discrete Probabilistic Inverse Optimal Transport,"Wei-Ting Chiu, Pei Wang, Patrick Shafto",2022,ICML2022
Selective Network Linearization for Efficient Private Inference,"Minsu Cho, Ameya Joshi, Brandon Reagen, Siddharth Garg, Chinmay Hegde",2022,ICML2022
From block-Toeplitz matrices to differential equations on graphs: towards a general theory for scalable masked Transformers,"Krzysztof Choromanski, Han Lin, Haoxian Chen, Tianyi Zhang, Arijit Sehanobish, Valerii Likhosherstov, Jack Parker-Holder, Tamas Sarlos, Adrian Weller, Thomas Weingarten",2022,ICML2022
Shuffle Private Linear Contextual Bandits,"Sayak Ray Chowdhury, Xingyu Zhou",2022,ICML2022
DNA: Domain Generalization with Diversified Neural Averaging,"Xu Chu, Yujie Jin, Wenwu Zhu, Yasha Wang, Xin Wang, Shanghang Zhang, Hong Mei",2022,ICML2022
TPC: Transformation-Specific Smoothing for Point Cloud Models,"Wenda Chu, Linyi Li, Bo Li",2022,ICML2022
