title,author,year,publication,citation
An Empirical Study on Disentanglement of Negative-free Contrastive Learning,"Jinkun Cao, Ruiqian Nai, Qing Yang, Jialei Huang, Yang Gao",2022,NeurIPS2022,-999
MABSplit: Faster Forest Training Using Multi-Armed Bandits,"Mo Tiwari, Ryan Kang, Jaeyong Lee, Chris Piech, Ilan Shomorony, Sebastian Thrun, Martin J. Zhang",2022,NeurIPS2022,-999
Counterfactual Fairness with Partially Known Causal Graph,"Aoqi Zuo, Susan Wei, Tongliang Liu, Bo Han, Kun Zhang, Mingming Gong",2022,NeurIPS2022,-999
Controlled Sparsity via Constrained Optimization or: How I Learned to Stop Tuning Penalties and Love Constraints,"Jose Gallego-Posada, Juan Ramirez, Akram Erraqabi, Yoshua Bengio, Simon Lacoste-Julien",2022,NeurIPS2022,-999
Algorithms and Hardness for Learning Linear Thresholds from Label Proportions,Rishi Saket,2022,NeurIPS2022,-999
Predictive Coding beyond Gaussian Distributions,"Luca Pinchetti, Tommaso Salvatori, Yordan Yordanov, Beren Millidge, Yuhang Song, Thomas Lukasiewicz",2022,NeurIPS2022,-999
Semi-supervised Active Linear Regression,"Nived Rajaraman, Fnu Devvrit, Pranjal Awasthi",2022,NeurIPS2022,-999
Boosting Barely Robust Learners: A New Perspective on Adversarial Robustness,"Avrim Blum, Omar Montasser, Greg Shakhnarovich, Hongyang Zhang",2022,NeurIPS2022,-999
Decision-Focused Learning without Decision-Making: Learning Locally Optimized Decision Losses,"Sanket Shah, Kai Wang, Bryan Wilder, Andrew Perrault, Milind Tambe",2022,NeurIPS2022,-999
Neural Stochastic PDEs: Resolution-Invariant Learning of Continuous Spatiotemporal Dynamics,"Cristopher Salvi, Maud Lemercier, Andris Gerasimovics",2022,NeurIPS2022,-999
Okapi: Generalising Better by Making Statistical Matches Match,"Myles Bartlett, Sara Romiti, Viktoriia Sharmanska, Novi Quadrianto",2022,NeurIPS2022,-999
Revisiting Heterophily For Graph Neural Networks,"Sitao Luan, Chenqing Hua, Qincheng Lu, Jiaqi Zhu, Mingde Zhao, Shuyuan Zhang, Xiao-Wen Chang, Doina Precup",2022,NeurIPS2022,-999
Museformer: Transformer with Fine- and Coarse-Grained Attention for Music Generation,"Botao Yu, Peiling Lu, Rui Wang, Wei Hu, Xu Tan, Wei Ye, Shikun Zhang, Tao Qin, Tie-Yan Liu",2022,NeurIPS2022,-999
Emergent Communication: Generalization and Overfitting in Lewis Games,"Mathieu Rita, Corentin Tallec, Paul Michel, Jean-Bastien Grill, Olivier Pietquin, Emmanuel Dupoux, Florian Strub",2022,NeurIPS2022,-999
Towards Efficient Post-training Quantization of Pre-trained Language Models,"Haoli Bai, Lu Hou, Lifeng Shang, Xin Jiang, Irwin King, Michael R Lyu",2022,NeurIPS2022,-999
Riemannian Neural SDE: Learning Stochastic Representations on Manifolds,"Sung Woo Park, Hyomin Kim, Kyungjae Lee, Junseok Kwon",2022,NeurIPS2022,-999
"Learning in Observable POMDPs, without Computationally Intractable Oracles","Noah Golowich, Ankur Moitra, Dhruv Rohatgi",2022,NeurIPS2022,-999
Cross-Image Context for Single Image Inpainting,"Tingliang Feng, Wei Feng, Weiqi Li, Di Lin",2022,NeurIPS2022,-999
Efficient and Effective Augmentation Strategy for Adversarial Training,"Sravanti Addepalli, Samyak Jain, Venkatesh Babu R",2022,NeurIPS2022,-999
Multi-Sample Training for Neural Image Compression,"Tongda Xu, Yan Wang, Dailan He, Chenjian Gao, Han Gao, Kunzan Liu, Hongwei Qin",2022,NeurIPS2022,-999
Adaptive Data Debiasing through Bounded Exploration,"Yifan Yang, Yang Liu, Parinaz Naghizadeh",2022,NeurIPS2022,-999
Learning to Navigate Wikipedia by Taking Random Walks,"Manzil Zaheer, Kenneth Marino, Will Grathwohl, John Schultz, Wendy Shang, Sheila Babayan, Arun Ahuja, Ishita Dasgupta, Christine Kaeser-Chen, Rob Fergus",2022,NeurIPS2022,-999
When does return-conditioned supervised learning work for offline reinforcement learning?,"David Brandfonbrener, Alberto Bietti, Jacob Buckman, Romain Laroche, Joan Bruna",2022,NeurIPS2022,-999
Provable Subspace Identification Under Post-Nonlinear Mixtures,"Qi Lyu, Xiao Fu",2022,NeurIPS2022,-999
S$^3$-NeRF: Neural Reflectance Field from Shading and Shadow under a Single Viewpoint,"Wenqi Yang, Guanying Chen, Chaofeng Chen, Zhenfang Chen, Kwan-Yee K. Wong",2022,NeurIPS2022,-999
AdaFocal: Calibration-aware Adaptive Focal Loss,"Arindam Ghosh, Thomas Schaaf, Matthew Gormley",2022,NeurIPS2022,-999
Learning Robust Dynamics through Variational Sparse Gating,"Arnav Kumar Jain, Shivakanth Sujit, Shruti Joshi, Vincent Michalski, Danijar Hafner, Samira Ebrahimi Kahou",2022,NeurIPS2022,-999
Where to Pay Attention in Sparse Training for Feature Selection?,"Ghada Sokar, Zahra Atashgahi, Mykola Pechenizkiy, Decebal Constantin Mocanu",2022,NeurIPS2022,-999
Maximizing Revenue under Market Shrinkage and Market Uncertainty,"Maria-Florina F. Balcan, Siddharth Prasad, Tuomas Sandholm",2022,NeurIPS2022,-999
General Cutting Planes for Bound-Propagation-Based Neural Network Verification,"Huan Zhang, Shiqi Wang, Kaidi Xu, Linyi Li, Bo Li, Suman Jana, Cho-Jui Hsieh, J. Zico Kolter",2022,NeurIPS2022,-999
An $\alpha$-regret analysis of Adversarial Bilateral Trade,"Yossi Azar, Amos Fiat, Federico Fusco",2022,NeurIPS2022,-999
LDSA: Learning Dynamic Subtask Assignment in Cooperative Multi-Agent Reinforcement Learning,"Mingyu Yang, Jian Zhao, Xunhan Hu, Wengang Zhou, Jiangcheng Zhu, Houqiang Li",2022,NeurIPS2022,-999
Mildly Conservative Q-Learning for Offline Reinforcement Learning,"Jiafei Lyu, Xiaoteng Ma, Xiu Li, Zongqing Lu",2022,NeurIPS2022,-999
Iterative Feature Matching: Toward Provable Domain Generalization with Logarithmic Environments,"Yining Chen, Elan Rosenfeld, Mark Sellke, Tengyu Ma, Andrej Risteski",2022,NeurIPS2022,-999
Certifying Robust Graph Classification under Orthogonal Gromov-Wasserstein Threats,"Hongwei Jin, Zishun Yu, Xinhua Zhang",2022,NeurIPS2022,-999
Functional Ensemble Distillation,"Coby Penso, Idan Achituve, Ethan Fetaya",2022,NeurIPS2022,-999
Use-Case-Grounded Simulations for Explanation Evaluation,"Valerie Chen, Nari Johnson, Nicholay Topin, Gregory Plumb, Ameet Talwalkar",2022,NeurIPS2022,-999
Lethal Dose Conjecture on Data Poisoning,"Wenxiao Wang, Alexander Levine, Soheil Feizi",2022,NeurIPS2022,-999
Online Decision Mediation,"Daniel Jarrett, Alihan Hüyük, Mihaela van der Schaar",2022,NeurIPS2022,-999
Neural-Symbolic Entangled Framework for Complex Query Answering,"Zezhong Xu, Wen Zhang, Peng Ye, Hui Chen, Huajun Chen",2022,NeurIPS2022,-999
Reinforcement Learning with Automated Auxiliary Loss Search,"Tairan He, Yuge Zhang, Kan Ren, Minghuan Liu, Che Wang, Weinan Zhang, Yuqing Yang, Dongsheng Li",2022,NeurIPS2022,-999
M$^4$I: Multi-modal Models Membership Inference,"Pingyi Hu, Zihan Wang, Ruoxi Sun, Hu Wang, Minhui Xue",2022,NeurIPS2022,-999
Best of Both Worlds Model Selection,"Aldo Pacchiano, Christoph Dann, Claudio Gentile",2022,NeurIPS2022,-999
The Unreasonable Effectiveness of Fully-Connected Layers for Low-Data Regimes,"Peter Kocsis, Peter Súkeník, Guillem Braso, Matthias Niessner, Laura Leal-Taixé, Ismail Elezi",2022,NeurIPS2022,-999
Augmentations in Hypergraph Contrastive Learning: Fabricated and Generative,"Tianxin Wei, Yuning You, Tianlong Chen, Yang Shen, Jingrui He, Zhangyang Wang",2022,NeurIPS2022,-999
On the Global Convergence Rates of Decentralized Softmax Gradient Play in Markov Potential Games,"Runyu Zhang, Jincheng Mei, Bo Dai, Dale Schuurmans, Na Li",2022,NeurIPS2022,-999
Sym-NCO: Leveraging Symmetricity for Neural Combinatorial Optimization,"Minsu Kim, Junyoung Park, Jinkyoo Park",2022,NeurIPS2022,-999
Few-Shot Parameter-Efficient Fine-Tuning is Better and Cheaper than In-Context Learning,"Haokun Liu, Derek Tam, Mohammed Muqeeth, Jay Mohta, Tenghao Huang, Mohit Bansal, Colin A. Raffel",2022,NeurIPS2022,-999
HF-NeuS: Improved Surface Reconstruction Using High-Frequency Details,"Yiqun Wang, Ivan Skorokhodov, Peter Wonka",2022,NeurIPS2022,-999
On the Epistemic Limits of Personalized Prediction,"Lucas Monteiro Paes, Carol Long, Berk Ustun, Flavio Calmon",2022,NeurIPS2022,-999
DeepInteraction: 3D Object Detection via Modality Interaction,"Zeyu Yang, Jiaqi Chen, Zhenwei Miao, Wei Li, Xiatian Zhu, Li Zhang",2022,NeurIPS2022,-999
Deep Differentiable Logic Gate Networks,"Felix Petersen, Christian Borgelt, Hilde Kuehne, Oliver Deussen",2022,NeurIPS2022,-999
Maximizing and Satisficing in Multi-armed Bandits with Graph Information,"Parth Thaker, Mohit Malu, Nikhil Rao, Gautam Dasarathy",2022,NeurIPS2022,-999
MoGDE: Boosting Mobile Monocular 3D Object Detection with Ground Depth Estimation,"Yunsong Zhou, Quan Liu, Hongzi Zhu, Yunzhe Li, Shan Chang, Minyi Guo",2022,NeurIPS2022,-999
Causality Preserving Chaotic Transformation and Classification using Neurochaos Learning,"Harikrishnan N B, Aditi Kathpalia, Nithin Nagaraj",2022,NeurIPS2022,-999
CascadeXML: Rethinking Transformers for End-to-end Multi-resolution Training in Extreme Multi-label Classification,"Siddhant Kharbanda, Atmadeep Banerjee, Erik Schultheis, Rohit Babbar",2022,NeurIPS2022,-999
"VF-PS: How to Select Important Participants in Vertical Federated Learning, Efficiently and Securely?","Jiawei Jiang, Lukas Burkhalter, Fangcheng Fu, Bolin Ding, Bo Du, Anwar Hithnawi, Bo Li, Ce Zhang",2022,NeurIPS2022,-999
PopArt: Efficient Sparse Regression and Experimental Design for Optimal Sparse Linear Bandits,"Kyoungseok Jang, Chicheng Zhang, Kwang-Sung Jun",2022,NeurIPS2022,-999
Augmenting Online Algorithms with $\varepsilon$-Accurate Predictions,"Anupam Gupta, Debmalya Panigrahi, Bernardo Subercaseaux, Kevin Sun",2022,NeurIPS2022,-999
Unsupervised Multi-Object Segmentation by Predicting Probable Motion Patterns,"Laurynas Karazija, Subhabrata Choudhury, Iro Laina, Christian Rupprecht, Andrea Vedaldi",2022,NeurIPS2022,-999
Incrementality Bidding via Reinforcement Learning under Mixed and Delayed Rewards,"Ashwinkumar Badanidiyuru Varadaraja, Zhe Feng, Tianxi Li, Haifeng Xu",2022,NeurIPS2022,-999
Masked Generative Adversarial Networks are Data-Efficient Generation Learners,"Jiaxing Huang, Kaiwen Cui, Dayan Guan, Aoran Xiao, Fangneng Zhan, Shijian Lu, Shengcai Liao, Eric Xing",2022,NeurIPS2022,-999
What You See is What You Get: Principled Deep Learning via Distributional Generalization,"Bogdan Kulynych, Yao-Yuan Yang, Yaodong Yu, Jarosław Błasiok, Preetum Nakkiran",2022,NeurIPS2022,-999
Towards Understanding the Condensation of Neural Networks at Initial Training,"Hanxu Zhou, Zhou Qixuan, Tao Luo, Yaoyu Zhang, Zhi-Qin Xu",2022,NeurIPS2022,-999
CoNT: Contrastive Neural Text Generation,"Chenxin An, Jiangtao Feng, Kai Lv, Lingpeng Kong, Xipeng Qiu, Xuanjing Huang",2022,NeurIPS2022,-999
GAPX: Generalized Autoregressive Paraphrase-Identification X,"Yifei Zhou, Renyu Li, Hayden Housen, Ser Nam Lim",2022,NeurIPS2022,-999
Scalable Infomin Learning,"Yanzhi Chen, weihao sun, Yingzhen Li, Adrian Weller",2022,NeurIPS2022,-999
Learning to Accelerate Partial Differential Equations via Latent Global Evolution,"Tailin Wu, Takashi Maruyama, Jure Leskovec",2022,NeurIPS2022,-999
Monte Carlo Augmented Actor-Critic for Sparse Reward Deep Reinforcement Learning from Suboptimal Demonstrations,"Albert Wilcox, Ashwin Balakrishna, Jules Dedieu, Wyame Benslimane, Daniel Brown, Ken Goldberg",2022,NeurIPS2022,-999
"Not too little, not too much: a theoretical analysis of graph (over)smoothing",Nicolas Keriven,2022,NeurIPS2022,-999
Kernel similarity matching with Hebbian networks,"Kyle Luther, Sebastian Seung",2022,NeurIPS2022,-999
HumanLiker: A Human-like Object Detector to Model the Manual Labeling Process,"Haoran Wei, Ping Guo, Yangguang Zhu, Chenglong Liu, Peng Wang",2022,NeurIPS2022,-999
Scalable Representation Learning in Linear Contextual Bandits with Constant Regret Guarantees,"Andrea Tirinzoni, Matteo Papini, Ahmed Touati, Alessandro Lazaric, Matteo Pirotta",2022,NeurIPS2022,-999
DevFly: Bio-Inspired Development of Binary Connections for Locality Preserving Sparse Codes,"Tianqi Wei, Rana Alkhoury Maroun, Qinghai Guo, Barbara Webb",2022,NeurIPS2022,-999
Why neural networks find simple solutions:  The many regularizers of geometric complexity,"Benoit Dherin, Michael Munn, Mihaela Rosca, David Barrett",2022,NeurIPS2022,-999
Efficiently Computing Local Lipschitz Constants of Neural Networks via Bound Propagation,"Zhouxing Shi, Yihan Wang, Huan Zhang, J. Zico Kolter, Cho-Jui Hsieh",2022,NeurIPS2022,-999
A Causal Analysis of Harm,"Sander Beckers, Hana Chockler, Joseph Halpern",2022,NeurIPS2022,-999
Seeing the forest and the tree: Building representations of both individual and collective dynamics with transformers,"Ran Liu, Mehdi Azabou, Max Dabagia, Jingyun Xiao, Eva Dyer",2022,NeurIPS2022,-999
